id	effectiveTime	active	moduleId	definitionStatusId
298705000	20040731	1	900000000000207008	900000000000073002
300847008	20020731	0	900000000000207008	900000000000074008
300848003	20040131	1	900000000000207008	900000000000073002
300851005	20050131	1	900000000000207008	900000000000073002
300862005	20050131	1	900000000000207008	900000000000073002
301226008	20050131	1	900000000000207008	900000000000073002
301230006	20050131	1	900000000000207008	900000000000073002
301232003	20150131	1	900000000000207008	900000000000073002
301296002	20050131	1	900000000000207008	900000000000073002
301857004	20210731	0	900000000000207008	900000000000074008
302292003	20040131	1	900000000000207008	900000000000073002
302551006	20020131	1	900000000000207008	900000000000074008
302817000	20190731	0	900000000000207008	900000000000074008
303102005	20020131	1	900000000000207008	900000000000074008
308489006	20020131	1	900000000000207008	900000000000074008
309524007	20050131	1	900000000000207008	900000000000073002
309529002	20050131	1	900000000000207008	900000000000073002
310787001	20020131	1	900000000000207008	900000000000074008
312419003	20020131	1	900000000000207008	900000000000074008
321667001	20020131	1	900000000000207008	900000000000074008
362873000	20020131	1	900000000000207008	900000000000074008
362874006	20020131	1	900000000000207008	900000000000074008
362889002	20020131	1	900000000000207008	900000000000074008
362937008	20020131	1	900000000000207008	900000000000074008
362965005	20020131	1	900000000000207008	900000000000073002
362981000	20020131	1	900000000000207008	900000000000074008
363346000	20020131	1	900000000000207008	900000000000073002
363357005	20210731	0	900000000000207008	900000000000074008
363358000	20020731	1	900000000000207008	900000000000073002
363536003	20020131	1	900000000000207008	900000000000074008
363589002	20110131	1	900000000000012004	900000000000074008
363698007	20110131	1	900000000000012004	900000000000074008
363699004	20110131	1	900000000000012004	900000000000074008
363700003	20110131	1	900000000000012004	900000000000074008
363701004	20110131	1	900000000000012004	900000000000074008
363702006	20110131	1	900000000000012004	900000000000074008
363703001	20110131	1	900000000000012004	900000000000074008
363704007	20110131	1	900000000000012004	900000000000074008
363705008	20110131	1	900000000000012004	900000000000074008
363709002	20110131	1	900000000000012004	900000000000074008
363710007	20110131	1	900000000000012004	900000000000074008
363713009	20110131	1	900000000000012004	900000000000074008
363714003	20110131	1	900000000000012004	900000000000074008
363743006	20020131	1	900000000000207008	900000000000074008
367636007	20020731	0	900000000000207008	900000000000074008
367640003	20020731	0	900000000000207008	900000000000074008
367651003	20020131	1	900000000000207008	900000000000074008
370115009	20020131	1	900000000000207008	900000000000074008
370129005	20110131	1	900000000000012004	900000000000074008
370130000	20110131	1	900000000000012004	900000000000074008
370131001	20110131	1	900000000000012004	900000000000074008
370132008	20110131	1	900000000000012004	900000000000074008
370133003	20110131	1	900000000000012004	900000000000074008
370134009	20110131	1	900000000000012004	900000000000074008
370135005	20110131	1	900000000000012004	900000000000074008
370136006	20110131	1	900000000000012004	900000000000074008
370227000	20050131	0	900000000000207008	900000000000074008
371881003	20110131	1	900000000000012004	900000000000074008
372087000	20020731	1	900000000000207008	900000000000073002
394966004	20050731	1	900000000000207008	900000000000073002
399902003	20030731	1	900000000000207008	900000000000073002
399981008	20030731	1	900000000000207008	900000000000073002
400141005	20030731	1	900000000000207008	900000000000074008
400177003	20030731	1	900000000000207008	900000000000074008
404684003	20040131	1	900000000000207008	900000000000074008
405813007	20110131	1	900000000000012004	900000000000074008
405814001	20110131	1	900000000000012004	900000000000074008
405815000	20110131	1	900000000000012004	900000000000074008
405816004	20110131	1	900000000000012004	900000000000074008
406123005	20040131	1	900000000000207008	900000000000073002
408729009	20110131	1	900000000000012004	900000000000074008
408730004	20110131	1	900000000000012004	900000000000074008
408731000	20110131	1	900000000000012004	900000000000074008
408732007	20110131	1	900000000000012004	900000000000074008
408739003	20110131	1	900000000000012004	900000000000074008
410510008	20040731	1	900000000000207008	900000000000074008
410511007	20040731	1	900000000000207008	900000000000074008
410512000	20040731	1	900000000000207008	900000000000074008
410514004	20040731	1	900000000000207008	900000000000074008
410590009	20040731	1	900000000000207008	900000000000074008
410604004	20040731	1	900000000000207008	900000000000074008
410662002	20110131	1	900000000000012004	900000000000074008
410675002	20110131	1	900000000000012004	900000000000074008
411116001	20110131	1	900000000000012004	900000000000074008
413350009	20050131	1	900000000000207008	900000000000073002
414679000	20110131	1	900000000000012004	900000000000074008
415684004	20050131	1	900000000000207008	900000000000074008
416152001	20050731	1	900000000000207008	900000000000074008
416319003	20050731	1	900000000000207008	900000000000074008
416550000	20050731	1	900000000000207008	900000000000074008
416775004	20050731	1	900000000000207008	900000000000074008
416939005	20050731	1	900000000000207008	900000000000074008
417437006	20050731	1	900000000000207008	900000000000074008
418775008	20110131	1	900000000000012004	900000000000074008
419066007	20110131	1	900000000000012004	900000000000074008
419358007	20060131	1	900000000000207008	900000000000074008
420473002	20060731	1	900000000000207008	900000000000074008
424226004	20110131	1	900000000000012004	900000000000074008
424244007	20110131	1	900000000000012004	900000000000074008
424361007	20110131	1	900000000000012004	900000000000074008
424876005	20110131	1	900000000000012004	900000000000074008
425391005	20110131	1	900000000000012004	900000000000074008
428100006	20080131	1	900000000000207008	900000000000073002
430621000	20080731	1	900000000000207008	900000000000073002
440299000	20090131	1	900000000000207008	900000000000073002
442083009	20090731	1	900000000000207008	900000000000074008
443859009	20100131	1	900000000000207008	900000000000073002
444433005	20100131	1	900000000000207008	900000000000073002
448708002	20110731	1	900000000000207008	900000000000073002
449096009	20110731	1	900000000000207008	900000000000073002
609096000	20130731	1	900000000000012004	900000000000074008
609412005	20170131	0	900000000000207008	900000000000074008
609413000	20170131	0	900000000000207008	900000000000074008
609622007	20130731	1	900000000000207008	900000000000073002
609623002	20130731	1	900000000000207008	900000000000073002
698967008	20140131	1	900000000000207008	900000000000074008
699589007	20140131	1	900000000000207008	900000000000074008
699590003	20140131	1	900000000000207008	900000000000074008
699593001	20140131	1	900000000000207008	900000000000074008
699594007	20140131	1	900000000000207008	900000000000074008
704319004	20150131	1	900000000000012004	900000000000074008
704320005	20150131	1	900000000000012004	900000000000074008
704321009	20150131	1	900000000000012004	900000000000074008
704322002	20150131	1	900000000000012004	900000000000074008
704323007	20150131	1	900000000000012004	900000000000074008
704324001	20150131	1	900000000000012004	900000000000074008
704325000	20150131	1	900000000000012004	900000000000074008
704326004	20150131	1	900000000000012004	900000000000074008
704327008	20150131	1	900000000000012004	900000000000074008
704346009	20150131	1	900000000000012004	900000000000074008
704347000	20150131	1	900000000000012004	900000000000074008
704647008	20150131	1	900000000000012004	900000000000074008
714323000	20160131	1	900000000000207008	900000000000074008
