id	effectiveTime	active	moduleId	sourceId	destinationId	relationshipGroup	typeId	characteristicTypeId	modifierId
14658207028	20210731	1	900000000000012004	1142141006	762706009	0	116680003	900000000000011006	900000000000451002
14658208022	20210731	1	900000000000012004	1142143009	762706009	0	116680003	900000000000011006	900000000000451002
14658209025	20210731	1	900000000000012004	1142142004	762706009	0	116680003	900000000000011006	900000000000451002
900000000000004024	20020131	1	900000000000012004	900000000000003001	900000000000446008	0	116680003	900000000000011006	900000000000451002
900000000000009025	20020131	1	900000000000012004	900000000000006009	900000000000449001	0	116680003	900000000000011006	900000000000451002
900000000000015025	20020131	1	900000000000012004	900000000000010007	900000000000006009	0	116680003	900000000000011006	900000000000451002
900000000000017022	20020131	1	900000000000012004	900000000000011006	900000000000006009	0	116680003	900000000000011006	900000000000451002
900000000000021026	20110131	1	900000000000012004	106237007	900000000000441003	0	116680003	900000000000011006	900000000000451002
900000000000138025	20020131	1	900000000000012004	900000000000073002	900000000000444006	0	116680003	900000000000011006	900000000000451002
900000000000142027	20020131	1	900000000000012004	900000000000074008	900000000000444006	0	116680003	900000000000011006	900000000000451002
900000000000205028	20020131	1	900000000000012004	900000000000013009	900000000000446008	0	116680003	900000000000011006	900000000000451002
900000000000600025	20020131	1	900000000000012004	900000000000442005	900000000000441003	0	116680003	900000000000011006	900000000000451002
900000000000601026	20020131	1	900000000000012004	900000000000443000	900000000000442005	0	116680003	900000000000011006	900000000000451002
900000000000602022	20020131	1	900000000000012004	900000000000444006	900000000000442005	0	116680003	900000000000011006	900000000000451002
900000000000603028	20020131	1	900000000000012004	900000000000445007	900000000000443000	0	116680003	900000000000011006	900000000000451002
900000000000604023	20020131	1	900000000000012004	900000000000446008	900000000000442005	0	116680003	900000000000011006	900000000000451002
900000000000607027	20020131	1	900000000000012004	900000000000449001	900000000000442005	0	116680003	900000000000011006	900000000000451002
900000000000608021	20020131	1	900000000000012004	900000000000450001	900000000000442005	0	116680003	900000000000011006	900000000000451002
900000000000609029	20020131	1	900000000000012004	900000000000451002	900000000000450001	0	116680003	900000000000011006	900000000000451002
900000000000612026	20020131	1	900000000000012004	900000000000454005	900000000000441003	0	116680003	900000000000011006	900000000000451002
900000000000615029	20020131	1	900000000000012004	900000000000457003	900000000000454005	0	116680003	900000000000011006	900000000000451002
900000000000684020	20020131	1	900000000000012004	900000000000511003	900000000000457003	0	116680003	900000000000011006	900000000000451002
900000000000721021	20020131	1	900000000000012004	900000000000548007	900000000000511003	0	116680003	900000000000011006	900000000000451002
900000000000722025	20020131	1	900000000000012004	900000000000549004	900000000000511003	0	116680003	900000000000011006	900000000000451002
900000000000723024	20020131	1	900000000000012004	900000000000550004	900000000000446008	0	116680003	900000000000011006	900000000000451002
